Nom_ de_ Site_F,Nom_ de _Site_A,Localisation _F ,Localisation_A,Période_ historique_F,Période_ historique_ A,Longitude ,Latitude
Nécropole Sidi Amer ,مقبرة سيدي عامر ,Ville d'El Hawaria,مدينة الهوارية ,Période Punique,الفترة البونية  ,11.029497,37.057083
Sanctuaire Cap Hermes Sidi L'Abiadh à 395 m d'hauteur.,معبد الاله هرماس او سيدي الابيض على علو 395 م.,Ville d'El Hawaria,مدينة الهوارية ,Romaine,رومانية ,11.056403,37.07017
île Zembretta ,الجامور الاصغر,Á 60 km dans la mer à vol d'oiseau des carrières d'el Hawaria au Nord -Ouest du Cap Bon,على بعد 60 كم من ساحل الهوارية على الضفة الشمالية الغربية للوطن القبلي,De l'époque punique à l'époque coloniale,من الفترة البونية الى الفترة الاستعمارية ,10.873295,37.106326
île Zembra ,الجامور الاكبر,Á 60 km dans la mer à vol d'oiseau des carrières d'el Hawaria au Nord -Ouest du Cap Bon,على بعد 60 كم من ساحل الهوارية على الضفة الشمالية الغربية للوطن القبلي,De l'époque punique à l'époque coloniale,من الفترة البونية الى الفترة الاستعمارية ,10.803835 ,37.124989
Qsar Saad ,قصر سعد ,Sur la route entre korba et menzel tamim ,على الطريق يين قربة و منزل تميم ,Période médiévale ,الفترة الوسيطة,10.896343,36.642903
"Qsar Lebna ""Ribat, Forteresse.","قصر لبنة ""رباط و قلعة عسكرية""",Sur la route entre korba et menzel tamim ,على الطريق بين قربة و منزل تميم ,Médiévale Hafside XIII e s au XIV s ap.J.-C.,الفترة الوسيطة خلال العهد الحفصي خلال القرن الثالث عشر  و الرابع عشر ميلادي,10.9408,36.712827
Cimetière islamique ,مقبرة اسلامية ,approximité du Ribat ou Ksar Lebna,بجوار قصر لبنة ,Période islamique .,الفترة الاسلامية,10.94858,36.711908
Maosolée du mourabit Sidi Ali El Moujahed,مقام الولي الصالح المرابط سيدي علي المجاهد,Autour du cimetière islamique,بمحاذاة المقبرة الاسلامية,Période islamique .,الفترة الاسلامية,10.949612,36.712443
Henchir Dhouhek  mornaguia ,هنشير الضحك مرناقية ,Territoire de Takilsa,معتمدية تاكلسة ,Ville byzantine  V e s ap.J.C,مدينة بيزنطية، القرن الخامس ميلادي,10.670791,36.87745
Nécropole Romain henchir Ed-dalia ,مقبرة رومانية  هنشير الداليا ,EL Mida  menzel temime ,معتمدية الميدة ,Période punique et romaine.,الفترة البونية و الرومانية,10.828448,36.713326
Maamoura ,المعمورة ,Nabeul Sud Est cote orientale du Cap-Bon ,على الضفة الجنوبية الشرقية  لولاية نابل,"Période moderne, dynastie Normande",تعود المدينة الى الفترة الحديثة متكونة من اقليات نورماندية,10.805961,36.469077
Port au Prince ,مرسى الامراء ,Takelsa cote Nord Ouest du cap-Bon,ناكلسة نحو الضفة الشمالية الغربية بين سليمان و الهوارية ,"Période punique, romaine, byzantine et coloniale.",بونية  رومانية  بيزنطية و استعمارية ,10.668817,36.881625
"Menzel Bachou, El Jdaida",منزل باشو : الجديدة,Nabeul  ,نابل  ,Période moderne X e s -XI e s ap.J.C.,الفترة الحديثة: القرن العاشر و الحادي عشر ميلادي,10.505882,36.619631
Missua (Nouba de Sidi Daoud),نوبة سيدي داود,El Hawaria: orientation Nord -Ouest,معتمدية الهوارية على الضفة الشمالية الغربية,"Protohistorique, romaine, médiévale..",فترة ما قبل التاريخ، الفترة الرومانية و الوسيطة,10.910853,37.024295
"Grombalia, village andalou fondée au XVII e s ap.J.C.",قرمباليا الاندلسية تاسست خلال القرن السابع عشر ميلادي,Au fond du Cap Bon ,في داخل الوطن القبلي , Période Andalous ,الفترة الاندلسية ,10.499125,36.598325
Hammamet ,الحمامات ,Sud-Est du Cap -Bon ,الجنوب الشرقي للوطن القبلي ,Médiévale ,الفترة الوسيطة,10.619197,36.416641
"Ksar Majeur: Temple didié à Cereres, citadelle Byzantine.",قصر ماجر و معبد للآلهة Cereres، قلعة بيزنطية ,Gouvernorat de Nabeul,ولاية نابل ,Période romaine et Byzantine ,الفترة الرومانية و البيزنطية ,10.494733,36.664131
Ras Fartas ,رأس فرطاس ,Entre Takelsa et Soliman cote Sud-Ouest du Cap-Bon ,بين تاكلسة و سليمان على الضفى الجنوبية الغربية للوطن القبلي,Forteresse punique: présance romaine et byzantine,الفترة البونية، الرومانية و البيزنطية,10.609503,36.881728
"Ras El Mallaha, station préhistorique et Néolithique, chassée romaine portée sur la lagune de Bou- Zid",رأس الملاحة ,"Hammam El Ghezaz: côte Est, dunes de sables",حمام الاغزاز: على ساحل البحر بمحاذاة سبخة بوزيد,"Préhistorique, romaine et médiévale.",فترة ما قبل التاريخ، رومانية و اسلامية,11.13509,36.874833
Vina- Henchir Maden,هنشير مادن  - وينا ,A la sortie de bouargoub sur la route de sousse GP1,على طريق بو عرقوب في اتجاه سوسة (GP1),"Période romaine, sous Marc Aurèle",الفترة الرومانية تحت حكم مارك اورال، الفترة الاستعمارية,10.599552,36.580267
Tubernuk-Tébournouq,طبرنق ,Entre Jedaida et Henchir el Kalbia sur la route d'Oudna ,بين الجديدة و هنشير الكلبية على طريق اوذنة,De la période punique à la période coloniale ,من الفترة البونية الى الفترة الاستعمارية ,10.466469,36.56782
Ksar El Faouara,قصر الفوارة,Entre El Hammamet et Grombalia vers l'Ouest,بين الحمامات و قرمباليا من الجهة الغربية,Période romaine III e s ap. J.C.,الفترة الرومانية,10.456569,36.561724
"Thinissut, Cité des Autochtones punicisés",موقع تينيسوت، مدينة السكان الاصليين (اللوبيون),Entre El Hammamet et Grombalia vers l'Est,بين الحمامات و قرمباليا من الجهة الشرقية,Période punique,الفترة اللوبية و البونية,10.604033,36.412298
"Territoire de Takilsa, Port au Prince, maisons, pressoirs à vin, fermes et observatoires",معتمدية تاكلسة، مرسى الامراء، منازل، معاصر الخمر، ضيعات و ابراج مراقبة,Entre Soliman et El Hawaria,بين معتمدية سليمان و الهوارية,"Période protohistorique, lybique, punique, romaine, byzantine, islamique et coloniale",فترة ما قبل التاريخ، لوبية، بونية، رومانية، بيزنطية، اسلامية و استعمارية,10.627095,36.830175
Tafekhsite  Menzel yahia ,تافخسيت منزل يحيى,Implantée de part et d'autre de l'ancienne lagune (Sabkhit Tafekhsite) traversée par une chaussée roamine,تافخسيت توجد بمعتمدية منزل تميم على ضفاف السباخ. يشق سبخة تافخسيت ممشى روماني ظاهرة للعيان الى اليوم.,"Romaine ,byzantine ","رومانية ,بيزنطية ",10.997731,36.760927
Soliman ,سليمان ,"Entre Borj Essedria, Takilsa et Menzel Bouzalfa",توجد مدينة سليمان بين برج السدرية، تاكلسة و منزل بوزلفة,"Fondation andalou. Les péréfiries sont des sites punique romaine, moderne et coloniale","بونية ,رومانية ,الفترة الاندلسية ,حديثة و استعمارية ",10.490854,36.698122
Skalba village médiéval,"الصقالبة ,عمادة ",Délégation Menzel Tamime,معتمدية منزل تميم  ,Peuple d'origine Slave de Moyen Âge,سكان من السلاف استوطنوا المنطقة منذ العصر الوسيط الغربي,10.891939,36.825059
Sminina- Mraîssa: site archéologique punique,المريّسة ,Entre Korbous ( Soliman) et Takilsa,معتمدية سليمان بين قربص و تاكلسة ,"Punique, romaine III e s - IV e s ap.J.C.",الفترة البونية و الرومانية القرنين الثالث و الرابع ميلادي,10.554202,36.757889
Sidi Othman (Ribat),رباط سيدي عثمان,Plateau dominant le rivage de Oued Chiba,على ضفاف واد شيبة ,"Période Médiévale, islamique",الفترة الوسيطة الاسلامية,10.913505,36.651314
Nécropole Sidi Mohamed Latrech,مقابر سيدي محمد الاطرش ,"délégation de KORBA, roche implantée dans un environnement forestier",نحتت المقبرة في هضبة صخرية وسط غابة بمعتمدية قربة,Punique,بونية ,10.545849,36.427277
Siagu (Ksar Zit),قصر الزيت ,Arrière pays de Bir Bou Ragba,ضواحي بئر بو رقبة,Commune administrée par des Suffêtes sous Tibère (Romaine),رومانية,10.59321,36.419813
Carrières antique d'El Hawaria (les Latomies) ou El Ghar el Kbir.,المقاطع الحجرية القديمة بالهوارية (المغاور او الغار الكبير),Localisées sur le front Nord-Est du Cap Bon déligation d'El Hawaria.,توجد المقاطع على هضاب جوراسية من الزمن الجولوجي الثاني في اقصى الشمال الشرقي للوطن القبلي.,Période punique et romaine.,الفترة البونية و الرومانية,10.996487, 37.061596
Seltan: carrières de Kaddel,سلطان: مقاطع حجارة الكذال,Versement Est de la colline el Maktaa,على الضفة الشرقية لمقاطع الكذال,Moyen Âge,الفترة الوسيطة,10.431827,36.700402
Curubis-Korba: Agglomération d'origine punique,قربة القديمة,Située au front de la mer,على ساحل البحر في الصفة الشمالية الشرقية,"Punique, romaine.",الفترة البونية و الرومانية,10.866522,36.570398
El Garia,القرية,Sous l'Observatoire Djbal Wazdra entre ezzahra et kélibia (délégation Hammam Ghezaz).,تحتل السهل تحت جبل وزدرة بين الزهراء و قليبية من معتمدية حمام الاغزاز,Romaine,رومانية,11.085117,36.896084
Musée de Nabeul,متحف نابل,Au centre ville de Nabeul,وسط مدينة نابل,"Collections d'époque punique, romaine et byzantine",لقى اثرية تعود الى الفترة البونية والرومانية و البيزنطية,10.736313,36.450878
Musée archéologique de Kerkouane,المتحف الاثري بكركوان,Au voisinage du site archéologique de Kerkouane (site Musée).,متحف مرافق للموقع الاثري بكركوان,Collections d'époque punique du site de Kerkouane,لقى أثرية تعود الى الفترة البونية  متأتية من الموقع الاثري بكركوان,11.098751,36.947809
